experiment_number,experiment_name,learning_rate,batch_size,dropout_rate,completed_epochs,best_epoch,minimum_validation_loss,best_validation_accuracy,runtime_seconds
5,experiment_05_lr_0.001_batch_32_dropout_0.3,0.001,32,0.3,14,11,0.19252368807792664,0.9426523447036743,257.28966188430786
6,experiment_06_lr_0.001_batch_32_dropout_0.5,0.001,32,0.5,15,13,0.19294771552085876,0.9354838728904724,280.96877336502075
7,experiment_07_lr_0.001_batch_64_dropout_0.3,0.001,64,0.3,15,12,0.22926588356494904,0.9426523447036743,264.32049560546875
8,experiment_08_lr_0.001_batch_64_dropout_0.5,0.001,64,0.5,15,14,0.2358383983373642,0.9139785170555115,265.0298275947571
3,experiment_03_lr_0.01_batch_64_dropout_0.3,0.01,64,0.3,15,14,0.4107120633125305,0.8494623899459839,287.2366030216217
9,experiment_09_lr_0.0001_batch_32_dropout_0.3,0.0001,32,0.3,15,15,0.457179456949234,0.8351254463195801,268.9618203639984
11,experiment_11_lr_0.0001_batch_64_dropout_0.3,0.0001,64,0.3,15,15,0.5109698176383972,0.8207885026931763,266.7635498046875
10,experiment_10_lr_0.0001_batch_32_dropout_0.5,0.0001,32,0.5,15,15,0.5125443935394287,0.8207885026931763,276.9711375236511
1,experiment_01_lr_0.01_batch_32_dropout_0.3,0.01,32,0.3,14,11,0.5183271169662476,0.8207885026931763,372.9480621814728
12,experiment_12_lr_0.0001_batch_64_dropout_0.5,0.0001,64,0.5,15,15,0.5768553018569946,0.7921146750450134,283.6092121601105
2,experiment_02_lr_0.01_batch_32_dropout_0.5,0.01,32,0.5,15,15,0.7323644757270813,0.7204301357269287,317.54488158226013
4,experiment_04_lr_0.01_batch_64_dropout_0.5,0.01,64,0.5,15,13,0.7404947876930237,0.7311828136444092,286.22095918655396
